2026-07-26 21:35:04 | stm32u3b5cg | table_80 | page=151 | Y=5.3.10 Flash memory characteristics | outline/toc=5.3.11 EMC characteristics
2026-07-26 21:35:04 | stm32u3b5cg | table_81 | page=152 | Y=5.3.11 EMC characteristics | outline/toc=5.3.12 Electrical sensitivity characteristics
2026-07-26 21:35:04 | stm32u3b5cg | table_82 | page=152 | Y=5.3.11 EMC characteristics | outline/toc=5.3.12 Electrical sensitivity characteristics
2026-07-26 21:35:04 | stm32u3b5cg | table_83 | page=153 | Y=5.3.12 Electrical sensitivity characteristics | outline/toc=5.3.13 I/O current injection characteristics
2026-07-26 21:35:04 | stm32u3b5cg | table_84 | page=153 | Y=5.3.12 Electrical sensitivity characteristics | outline/toc=5.3.13 I/O current injection characteristics
2026-07-26 21:35:04 | stm32u3b5cg | table_85 | page=154 | Y=5.3.13 I/O current injection characteristics | outline/toc=5.3.14 I/O port characteristics
2026-07-26 21:35:04 | stm32u3b5cg | table_93 | page=162 | Y=5.3.16 Extended interrupt and event controller input (EXTI) characteristics | outline/toc=5.3.17 Analog switches booster
2026-07-26 21:35:04 | stm32u3b5cg | table_98 | page=167 | Y=5.3.19 Temperature sensor characteristics | outline/toc=5.3.21 V monitoring characteristics
2026-07-26 21:35:04 | stm32u3b5cg | table_99 | page=167 | Y=5.3.20 V monitoring characteristics | outline/toc=5.3.21 V monitoring characteristics
2026-07-26 21:35:04 | stm32u3b5cg | table_107 | page=178 | Y=5.3.26 ADF characteristics | outline/toc=5.3.27 Timer characteristics
2026-07-26 21:35:04 | stm32u3b5cg | table_108 | page=179 | Y=5.3.27 Timer characteristics | outline/toc=5.3.28 OCTOSPI characteristics
2026-07-26 21:35:04 | stm32u3b5cg | table_109 | page=179 | Y=5.3.27 Timer characteristics | outline/toc=5.3.28 OCTOSPI characteristics
2026-07-26 21:35:04 | stm32u3b5cg | table_110 | page=179 | Y=5.3.27 Timer characteristics | outline/toc=5.3.28 OCTOSPI characteristics
2026-07-26 21:35:04 | stm32u3b5cg | table_116 | page=186 | Y=5.3.30 Delay block characteristics | outline/toc=5.3.32 I3C interface characteristics
2026-07-26 21:35:04 | stm32u3b5cg | table_117 | page=186 | Y=5.3.30 Delay block characteristics | outline/toc=5.3.32 I3C interface characteristics
2026-07-26 21:35:04 | stm32u3b5cg | table_118 | page=187 | Y=5.3.30 Delay block characteristics | outline/toc=5.3.33 USART characteristics
2026-07-26 21:35:04 | stm32u3b5cg | table_119 | page=187 | Y=5.3.30 Delay block characteristics | outline/toc=5.3.33 USART characteristics
2026-07-26 21:35:04 | stm32u3b5cg | table_123 | page=194 | Y=5.3.35 SAI characteristics | outline/toc=5.3.37 JTAG/SWD interface characteristics
2026-07-26 21:35:04 | stm32u3b5cg | table_126 | page=199 | Y=6.1 Device marking | outline/toc=6.2 LQFP48 package information (5B)
2026-07-26 21:35:04 | stm32u3b5cg | table_127 | page=202 | Y=6.1 Device marking | outline/toc=6.3 UFQFPN48 package information (A0B9)
2026-07-26 21:35:04 | stm32u3b5cg | table_128 | page=204 | Y=6.1 Device marking | outline/toc=6.4 LQFP64 package information (5W)
2026-07-26 21:35:04 | stm32u3b5cg | table_129 | page=207 | Y=6.1 Device marking | outline/toc=6.5.1 Device marking for WLCSP72
2026-07-26 21:35:04 | stm32u3b5cg | table_131 | page=213 | Y=6.1 Device marking | outline/toc=6.7 LQFP100 package information (1L)
2026-07-26 21:35:04 | stm32u3b5cg | table_132 | page=216 | Y=6.1 Device marking | outline/toc=6.8.1 Device marking for WLCSP126
2026-07-26 21:35:04 | stm32u3b5cg | table_133 | page=219 | Y=6.1 Device marking | outline/toc=6.9 UFBGA132 package information (A0G8)
2026-07-26 21:35:04 | stm32u3b5cg | table_134 | page=220 | Y=6.1 Device marking | outline/toc=6.10 LQFP144 package information (1A)
2026-07-26 21:35:04 | stm32u3b5cg | table_135 | page=222 | Y=6.1 Device marking | outline/toc=6.10 LQFP144 package information (1A)
2026-07-26 21:35:05 | stm32u3c5ci | table_5 | page=14 | A=3.7 Global TrustZone® controller (GTZC) | B=3.6 Boot modes
2026-07-26 21:35:05 | stm32u3c5ci | table_6 | page=14 | A=3.7 Global TrustZone® controller (GTZC) | B=3.6 Boot modes
2026-07-26 21:35:05 | stm32u3c5ci | table_7 | page=15 | A=3.7.1 TrustZone® security architecture | B=3.6 Boot modes
2026-07-26 21:35:05 | stm32u3c5ci | table_10 | page=36 | Y=3.21.1 Temperature sensor | outline/toc=3.22 Digital-to-analog converter (DAC)
2026-07-26 21:35:05 | stm32u3c5ci | table_11 | page=36 | Y=3.21.2 Internal voltage reference (VREFINT) | outline/toc=3.22 Digital-to-analog converter (DAC)
2026-07-26 21:35:05 | stm32u3c5ci | table_12 | page=43 | Y=3.33 Timers and watchdogs | outline/toc=3.33.1 Advanced-control timers (TIM1/TIM8)
2026-07-26 21:35:05 | stm32u3c5ci | table_13 | page=48 | Y=3.35 Tamper and backup registers (TAMP) | outline/toc=3.37 Improved inter-integrated circuit interface (I3C)
2026-07-26 21:35:05 | stm32u3c5ci | table_14 | page=50 | Y=3.35 Tamper and backup registers (TAMP) | outline/toc=3.38 Universal synchronous/asynchronous receiver transmitter (USART)
2026-07-26 21:35:05 | stm32u3c5ci | table_16 | page=54 | Y=3.40 Serial peripheral interface (SPI) | outline/toc=3.41 Serial audio interfaces (SAI)
2026-07-26 21:35:05 | stm32u3c5ci | table_17 | page=55 | Y=3.41 Serial audio interfaces (SAI) | outline/toc=3.42 Secure digital input/output and MultiMediaCards interface (SDMMC)
2026-07-26 21:35:05 | stm32u3c5ci | table_18 | page=56 | Y=3.42 Secure digital input/output and MultiMediaCards interface (SDMMC) | outline/toc=3.43 Controller area network (FDCAN)
2026-07-26 21:35:05 | stm32u3c5ci | table_19 | page=57 | Y=3.44 USB full-speed (USB) | outline/toc=3.45.2 Embedded Trace Macrocell
2026-07-26 21:35:05 | stm32u3c5ci | table_69 | page=142 | Y=5.3.7 Wake-up time from low-power modes and voltage scaling transition times | outline/toc=5.3.8 External clock timing characteristics
2026-07-26 21:35:05 | stm32u3c5ci | table_70 | page=142 | Y=5.3.7 Wake-up time from low-power modes and voltage scaling transition times | outline/toc=5.3.8 External clock timing characteristics
2026-07-26 21:35:05 | stm32u3c5ci | table_74 | page=146 | Y=5.3.8 External clock timing characteristics | outline/toc=5.3.9 Internal clock timing characteristics
2026-07-26 21:35:05 | stm32u3c5ci | table_79 | page=153 | Y=5.3.10 Flash memory characteristics | outline/toc=5.3.11 EMC characteristics
2026-07-26 21:35:05 | stm32u3c5ci | table_80 | page=153 | Y=5.3.10 Flash memory characteristics | outline/toc=5.3.11 EMC characteristics
2026-07-26 21:35:05 | stm32u3c5ci | table_81 | page=154 | Y=5.3.11 EMC characteristics | outline/toc=5.3.12 Electrical sensitivity characteristics
2026-07-26 21:35:05 | stm32u3c5ci | table_82 | page=154 | Y=5.3.11 EMC characteristics | outline/toc=5.3.12 Electrical sensitivity characteristics
2026-07-26 21:35:05 | stm32u3c5ci | table_83 | page=155 | Y=5.3.12 Electrical sensitivity characteristics | outline/toc=5.3.13 I/O current injection characteristics
2026-07-26 21:35:05 | stm32u3c5ci | table_84 | page=155 | Y=5.3.12 Electrical sensitivity characteristics | outline/toc=5.3.13 I/O current injection characteristics
2026-07-26 21:35:05 | stm32u3c5ci | table_85 | page=156 | Y=5.3.13 I/O current injection characteristics | outline/toc=5.3.14 I/O port characteristics
2026-07-26 21:35:05 | stm32u3c5ci | table_93 | page=164 | Y=5.3.16 Extended interrupt and event controller input (EXTI) characteristics | outline/toc=5.3.17 Analog switches booster
2026-07-26 21:35:05 | stm32u3c5ci | table_98 | page=169 | Y=5.3.19 Temperature sensor characteristics | outline/toc=5.3.21 V monitoring characteristics
2026-07-26 21:35:05 | stm32u3c5ci | table_99 | page=169 | Y=5.3.20 V monitoring characteristics | outline/toc=5.3.21 V monitoring characteristics
2026-07-26 21:35:05 | stm32u3c5ci | table_107 | page=180 | Y=5.3.26 ADF characteristics | outline/toc=5.3.27 Timer characteristics
2026-07-26 21:35:05 | stm32u3c5ci | table_108 | page=181 | Y=5.3.27 Timer characteristics | outline/toc=5.3.28 OCTOSPI characteristics
2026-07-26 21:35:05 | stm32u3c5ci | table_109 | page=181 | Y=5.3.27 Timer characteristics | outline/toc=5.3.28 OCTOSPI characteristics
2026-07-26 21:35:05 | stm32u3c5ci | table_110 | page=181 | Y=5.3.27 Timer characteristics | outline/toc=5.3.28 OCTOSPI characteristics
2026-07-26 21:35:05 | stm32u3c5ci | table_116 | page=188 | Y=5.3.30 Delay block characteristics | outline/toc=5.3.32 I3C interface characteristics
2026-07-26 21:35:05 | stm32u3c5ci | table_117 | page=188 | Y=5.3.30 Delay block characteristics | outline/toc=5.3.32 I3C interface characteristics
2026-07-26 21:35:05 | stm32u3c5ci | table_118 | page=189 | Y=5.3.30 Delay block characteristics | outline/toc=5.3.33 USART characteristics
2026-07-26 21:35:05 | stm32u3c5ci | table_119 | page=189 | Y=5.3.30 Delay block characteristics | outline/toc=5.3.33 USART characteristics
2026-07-26 21:35:05 | stm32u3c5ci | table_123 | page=196 | Y=5.3.35 SAI characteristics | outline/toc=5.3.37 JTAG/SWD interface characteristics
2026-07-26 21:35:05 | stm32u3c5ci | table_126 | page=201 | Y=6.1 Device marking | outline/toc=6.2 LQFP48 package information (5B)
2026-07-26 21:35:05 | stm32u3c5ci | table_127 | page=204 | Y=6.1 Device marking | outline/toc=6.3 UFQFPN48 package information (A0B9)
2026-07-26 21:35:05 | stm32u3c5ci | table_128 | page=206 | Y=6.1 Device marking | outline/toc=6.4 LQFP64 package information (5W)
2026-07-26 21:35:05 | stm32u3c5ci | table_129 | page=209 | Y=6.1 Device marking | outline/toc=6.5.1 Device marking for WLCSP72
2026-07-26 21:35:05 | stm32u3c5ci | table_131 | page=215 | Y=6.1 Device marking | outline/toc=6.7 LQFP100 package information (1L)
